# NedoTokenizer 20 GB candidate vocabulary
# NDSRF004 / RootSuffixByteBpe / max_token_bytes=48 / min_frequency=100
# columns: id	type	text	hex
370	learned	" al"	20 61 6C
371	learned	"as"	61 73
372	learned	" gö"	20 67 C3 B6
373	learned	"ol"	6F 6C
374	learned	"00"	30 30
375	learned	"ara"	61 72 61
376	learned	"ok"	6F 6B
377	learned	" E"	20 45
378	learned	"üz"	C3 BC 7A
379	learned	"\x20\xC3"	20 C3
380	learned	" H"	20 48
381	learned	" bu"	20 62 75
382	learned	"ti"	74 69
383	learned	"den"	64 65 6E
384	learned	" G"	20 47
385	learned	"ta"	74 61
386	learned	"dı"	64 C4 B1
387	learned	"sın"	73 C4 B1 6E
388	learned	" Y"	20 59
389	learned	" İ"	20 C4 B0
390	learned	" ş"	20 C5 9F
391	learned	"mak"	6D 61 6B
392	learned	"lan"	6C 61 6E
393	learned	" yap"	20 79 61 70
394	learned	"du"	64 75
395	learned	" için"	20 69 C3 A7 69 6E
396	learned	"ev"	65 76
397	learned	"ük"	C3 BC 6B
398	learned	"ra"	72 61
399	learned	"uz"	75 7A
400	learned	"ey"	65 79
401	learned	"eri"	65 72 69
402	learned	" P"	20 50
403	learned	"arak"	61 72 61 6B
404	learned	"üm"	C3 BC 6D
405	learned	"dır"	64 C4 B1 72
406	learned	"is"	69 73
407	learned	"dir"	64 69 72
408	learned	"yor"	79 6F 72
409	learned	" ed"	20 65 64
410	learned	"te"	74 65
411	learned	"ro"	72 6F
412	learned	"re"	72 65
413	learned	"ye"	79 65
414	learned	"’"	E2 80 99
415	learned	"lik"	6C 69 6B
416	learned	"ut"	75 74
417	learned	" an"	20 61 6E
418	learned	" da"	20 64 61
419	learned	"\n\n"	0A 0A
420	learned	"ad"	61 64
421	learned	"mek"	6D 65 6B
422	learned	"ac"	61 63
423	learned	" ile"	20 69 6C 65
424	learned	" z"	20 7A
425	learned	"tir"	74 69 72
426	learned	" O"	20 4F
427	learned	"01"	30 31
